,,,M\,V-10!,S,,,
ANALYTE PFBS,DW 420,GSI NC,2/5/18 29,27/19 <O.7,2127120 <9.9,8/19/20 27,313/21. 22,9/15/24 16
PFHxS,51,NC,3.2,<9.7,<9.9,25,1.9,1.9
PFHxS-LN,NC,NC,<1.2,<9.7,<9.9,18,NA,<2.0
PFHpS,NC,NC,2.6,<9.7,<9.9,<2.0,<1.9,<2.0
PFOS,16,12,27,28,31,29,21,23
PFBA,NC,NC,29,<19,5.5,<10,<9.7,<9.8
PFPeA,NC,NC,<1.,<9.7,<9.9,3.6,14,2.1
PFHxA,"400,000",NC,1.7,<9.7,1.4,3.2,76,<2.0
PFHpA,NC,NC,<1.2,"<9,7",<9.9,1.5,2,<2.0
PFOA,8,"12,000",2.6,<9.7,2.3,3.1,3.6,1.9
PFNA,6,NC,1.2,<9.7,<9.9,<2.0,<1.9,<2.0
PFUnDA,NC,NC,<0.31,<9.7,<9.9,<2.0,<1.9,<2.0
PFDoDA,NC,NC,"<0,46","<9,7",<9.9,<2.0,<1.9,<2.0
PFTrDA,NC,NC,<0.75,<9.7,<9.9,<2.0,<1.9,<2.0
PFTeDA,NC,NC,1.7,<9.7,<9.9,<2.0,<1.9,<2.0
