,,,,Mi\,V-111,S,,,,
ANALYTE PFBS,_DW_ 420,_GSL NC,8/30/18 3.6,FA7AG <9.6,2/27/20 <O.5,8/19/20 19,3/3/21. 3,9/15/21 AT,3/16/22 23,9/13/22 AT
PFHxS,51,NC,4.3,<9.6,<9.5,2,<2.0,<2.1,<2.0,<1.9
PFHpS,NC,NC,<0.88,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFOS,16,12,8.5,<9.6,<9.5,5.9,<2.0,5.8,<2.0,5.6
PFBA,NC,NC,6.7,20,<19,<10,<10,<10,<9.8,<9.6
PFPeA,NC,NC,3,<9.6,<9.5,1.1,<4.0,15,<3.9,<3.8
PFHXA,"400,000",NC,48,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFHpA,NC,NC,3.7,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFOA,8,"12,000",1,<9.6,<9.5,2.8,<2.0,27,<2.0,25
PFNA,6,NC,<0.94,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFUnDA,NC,NC,<0.31,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFDoDA,NC,NC,<0.46,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFTrDA,NC,NC,<0.75,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
PFTeDA,NC,NC,<1.2,<9.6,<9.5,<2.0,<2.0,<2.1,<2.0,<1.9
