,,,,AW -’,01S,,,,,,\¥,VAS24,NAS,
"ANALYTE, PFBS",_DW_ 420,_GSI_ NG,1/28/18 <19,5/29/18 <0.9,9/5/18 _ 14,2/25/20 23,8/18/20 19,3/3/21 19,9/14/21 <19,,ANALYTE PFBS:,_DW_ 420,_GSL NC,9/518. 1.8
PFHxS,51,NC,<1.9,1.4,1.9,<10,1.9,<2.1,<1.9,,PFHxS,51,NC,12
,,,,,,,,,,,,,,
PFHpS,NC,NC,"<1,9",<0.88,1.2,<10,"<1,9",<2.1,"<1,9",,PFHpS,NC,NC,25
,,,,,,,,,,,,,,
PFHpS-LN,NC,NC,<1.9,<0.88,<0.31,<10,1.6,NA,<1.9,,PFOS,16,12,<1
PFOS,16,12,35,12,33,21,30,25,37,,PFBA,NC,NC,32
PFBA,NC,NC,3.1,<2.7,3.8,<20,<9.7,<10,5.5,,PFPeA,NC,NC,<4.1
,,,,,,,,,,,,,,
PFPeA,NC,NC,"<1,9",<1,1.2,<10,1.9,<41,2.6,,PFHxA,"400,00C",NC,1.6
,,,,,,,,,,,,,,
PFHxA,"400,000",NC,<1.9,<0.92,1.5,1.7,<1.9,<2.1,2.1,,PFHpA,NC,NC,<1.2
PFHpA,NC,NC,<1.9,<1.2,<1.2,<10,<1.9,<2.1,<1.9,,PFOA,8,"12,000",4.5
PFOA,8,"12,000",44,2,45,<10,3.2,25,5.5,,PFNA,6,NC,<0.94
PFNA,6,NC,<1.9,11,1.2,<10,<1.9,<2.1,<1.9,,PFUnDA,NC,NC,<0.31
PFUnDA,NC,NC,<1.9,<0.31,<0.31,<10,<1.9,<2.1,<1.9,,PFDoDA,NC,NC,<0.46
PFDoDA,NC,NC,<1.9,0.51,<0.46,<10,<1.9,<2.1,<1.9,,PFTrDA,Nc,Nc,<0.75
PFTrDA,NC,NC,<1.9,0.82,<0.75,<10,<10,<2.1,<1.9,,PFTeDA,NC,NC,<4.2
PFTeDA,NC,NC,<1.9,1.4,<1.2,<10,<10,<4.1,<3.9,,,,,
