,,,,M\,V-174.,iS,,,,
ANALYTE PFBS:,_ DW 420,GSI NC,9/518 A?,SISHB <9.5,2/27/20 <10,8/19/20 18,RKAn 18,SA5/21 <2.0,3/16/22 15,9/13/22 V7
PFHxsS,51,NC,2.4,<9.5,<10,2.3,1.8,1.5,<2.0,<1.8
PFHxS-LN,NC,NC,<0.88,<9.5,<10,1.6,NA,1.8,<2.0,<1.8
PFHpS,NC,NC,<0.88,<9.5,<10,<1.9,<2.0,<2.0,<2.0,<1.8
PFOS,16,12,26,31,31,29,22,21,16,30
PFBA,NC,NC,27,<9.5,<20,<9.7,<10,<2.0,<9.8,<9.2
PFPeA,NC,NC,3.6,<9.5,<10,14,<4.1,<2.0,<3.9,<3.7
PFHxA,"400,00(",NC,3.3,<9.5,<10,<1.9,1.6,<2.0,1.7,<1.8
PFHpA,NC,NC,2.2,<9.5,<10,<1.9,<2.0,<2.0,<2.0,<1.8
PFOA,8,"12,000",43,<9.5,<10,1.8,<2.0,1.7,2.4,2.2
PFNA,6,NC,1.3,<9.5,<10,"<1,.9",<2.0,<2.0,<2.0,"<1,.8"
PFUnDA,NC,NC,<0.31,<9.5,<10,<1.9,<2.0,<2.0,<2.0,<1.8
PFDoDA,NC,NC,<0.46,<9.5,<10,<1.9,<2.0,<2.0,<2.0,<1.8
PFTrDA,NC,NC,<0.75,<9.5,<10,<1.9,<2.0,<2.0,<2.0,<1.8
PFTeDA,NC,NC,1.9,<9.5,<10,"<1,.9",<2.0,<2.0,<2.0,"<1,.8"
