,,,M\,V-11:,3S,,,
ANALYTE PFBS,_Dw_ 420,_GSL NG,8/30/18 §,279 <9.5,2127120 <9.5,8/19/20 18,3ISI2L. 18,9/15/24 1.6
PFHxS,51,NC,2.6,<9.5,<9.5,3.1,<2.0,1.8
PFHxS-LN,NC,NC,<0.88,<9.5,<9.5,26,NA,<2.1
PFHpS,NC,NC,<0.88,<9.5,<9.5,<1.9,<2.0,<2.1
PFOS,16,12,13,20,6.2,26,12,23
PFBA,NC,NC,7.1,<19,<19,<9.7,<10,<2.1
PFPeA,NC,NC,<1.1,<9.5,<9.5,1,<4.0,<2.1
PFHxA,"400,00¢",NC,1,<9.5,<9.5,<1.9,<2.0,<2.1
PFHpA,NC,NC,1.3,<9.5,<9.5,<1.9,<2.0,<2.1
PFOA,8,"12,000",2.6,<9.5,<9.5,<1.9,<2.0,1.7
PFNA,6,NC,<0.94,<9.5,<9.5,<1.9,<2.0,<2.1
PFUnDA,NC,NC,<0.31,<9.5,<9.5,<1.9,<2.0,<2.1
PFDoDA,NC,NC,<0.46,<9.5,<9.5,<1.9,<2.0,<2.1
PFTrDA,NC,NC,<0.75,<9.5,<9.5,<1.9,<2.0,<2.1
PFTeDA,NC,NC,<1.2,<9.5,<9.5,<1.9,<2.0,<2.1
