ANALYTE PFHxA,"_DW_ 400,000",_GSL NC,S158 <0.31,2125120 <10,8/18/20 37
PFBS,420,NC,4.6,4.5,3.2
PFHxS,51,NC,3.3,<10,3.1
PFHxS-LN,NC,NC,<0.94,<10,2.3
PFHpA,NC,NC,<0.94,<10,3
PFHpS,NC,NC,1.3,<10,<2.0
PFOS,16,12,7.3,7.3,7.3
PFBA,NC,NC,5.9,8.1,<10
PFPeA,NC,NC,1.1,<10,3.1
PFHxA,"400,00C",NC,2,3.5,3.7
PFHpA,NC,NC,2,28,<2.0
PFOA,8,"12,000",12,8.7,11
PFNA,6,NC,<0.94,<10,<2.0
PFDA,NC,NC,0.58,<10,<2.0
PFUnDA,NC,NC,<0.31,<10,<2.0
PFDoDA,NC,NC,<0.46,<10,<2.0
PFTrDA,NC,NC,<0.75,<10,<2.0
PFTeDA,NC,NC,2.8,<10,<2.0
EtFOSSAA,NC,NC,<0.83,<10,<2.0
