,,MV,/-10(,IS,,
ANALYTE PFBS,DW 420,_GSL NC,1518. 25,2/25/20 27,8/18/20 16,9/14/24 16
PFHxS,51,NC,4,<9.8,<2.0,<2.0
PFHpS,NC,NC,1.4,<9.8,<2.0,<2.0
PFOS,16,12,20,20,18,9.1
PFBA,NC,NC,<2.7,<20,<9.8,<9.8
PFPeA,NC,NC,<1.1,<9.8,<3.9,1.1
PFHxA,"400,000",NC,1,<9.8,<2.0,<2.0
PFHpA,NC,NC,<1.2,<9.8,<2.0,<2.0
PFOA,8,"12,000",2,<9.8,<2.0,<2.0
PFNA,6,NC,"<0,94",<9.8,<2.0,<2.0
PFUnDA,NC,NC,<0.31,<9.8,<2.0,<2.0
PFDoDA,NC,NC,<0.46,<9.8,<2.0,<2.0
PFTrDA,NC,NC,<0.75,<9.8,<2.0,<2.0
PFTeDA,NC,NC,<1.2,<9.8,<2.0,<2.0
