,,Sample,ID,MW-100S,MW-1018,MW-1028,Mw-103s,MW-104S,MW-1058,MW-106SR,MW-107S,MW-108S,| MW-109,MW-110S8,MW-111S,MW-112S,Mw-1138,MW-114S,Dupe 1,Dupe 2,Field Blank,Equip Blank,Field Blank,Equipment Blank,Trip,Equip,Field
,,Jate Collect,2d,02/25/2020,02/25/2020,02/25/2020,02/28/2020,02/25/2020,02/25/2020,02/25/2020,02/25/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/27/2020,02/25/2020,02/25/2020,02/27/2020,02/27/2020,02/28/2020,02/28/2020,02/28/2020
METALS ANALY iTS (ae),DW,GSI,,,,,,,,,,,,,,,,,IMWe1s12S},IMVWV=1s14S},,,,,,,
"Arsenic, Dissolved",10,10,,<0.002,<0.002,<0.002,| 4,<0.002,<0.002,<0.002,<0.002,0.257,| 9,0.518,<0.002,— 430~—~”,4.511,— 2B,a be,OA,| NA,NA,NA,NA,NA,NA,NA
Arsenic,10,10,,<0.002,<0.002,<0.002,— 46,<0.002,0.316,1.173,0.465,<0.002,| 69,2,0.998,41,| 3,62,43,69,| NA,NA,NA,NA,NA,NA,NA
"Chromium, Dissolved",100,160,G,0.275,0.891,7,— 0.204,0.562,0.463,0.719,<0.005,0.295,— 0.138,0.312,6,0.214,| 0.518,13,0.39,<0.005,| NA,NA,NA,NA,NA,NA,NA
Chromium,100,160,G,0.42,2.153,6,~ 0.388,16,280,764,0.185,0.431,| 1.767,0.862,6,0.349,| 6,0.97,0.356,1.084,| NA,NA,NA,NA,NA,NA,NA
"Chromium VI, Dissolved",100,160,,<0.005,<0.005,8,<0.01,<0.005,<0.005,<0.005,<0.005,<0.005,~ <0.005,<0.005,<0.005,4,— <0.005,<0.005,<0.005,<0.005,| NA,NA,NA,NA,NA,NA,NA
Chromium VI,100,160,,<0.01,<0.01,<0.01,/ <0.02,<0.01,<0.01,<0.01,4,<0.025,| <0.5,<0.5,<0.5,<0.5,— <0.025,<0.5,<0.5,<0.5,| NA,NA,NA,NA,NA,NA,NA
"Copper, Dissolved",1000,20,G,0.405,<0.005,<0.005,— <0.005,3.473,0.396,0.576,0.86,1.357,~ <0.005,<0.005,0.501,<0.005,— 0.492,0.751,0.391,0.611,— NA,NA,NA,NA,NA,NA,NA
Copper,1000,20,G,<0.005,0.698,0.516,| 0.528,9,6,14,0.996,0.564,— <0.005,0.835,0.694,<0.005,— 0.973,6,<0.005,6,| NA,NA,NA,NA,NA,NA,NA
"Lead, Dissolved",4,44,G,<0.003,<0.003,<0.003,- 0.208,<0.003,<0.003,<0.003,<0.003,<0.003,» <0.003,<0.003,<0.003,<0.003,~ <0.003,<0.003,0.584,<0.003,— NA,NA,NA,NA,NA,NA,NA
Lead,4,44,G,0.249,0.283,<0.003,» <0.003,<0.003,<0.003,0.886,0.283,<0.003,~ <0.003,0.242,0.339,<0.003,| 0.4,4,<0.003,4,— NA,NA,NA,NA,NA,NA,NA
"Selenium, Dissolved",50,5,,<0.005,<0.005,<0.005,— <0.005,<0.005,9,<0.005,<0.005,<0.005,~ <0.005,<0.005,<0.005,<0.005,— <0.005,<0.005,<0.005,<0.005,| NA,NA,NA,NA,NA,NA,NA
Selenium,50,5,,<0.005,<0.005,<0.005,— <0.005,<0.005,9,<0.005,<0.005,<0.005,~ <0.005,<0.005,<0.005,<0.005,— <0.005,<0.005,<0.005,<0.005,| NA,NA,NA,NA,NA,NA,NA
"Zinc, Dissolved",2400,260,G,6,4.654,5,— 2.299,9,1.504,1.216,9,7,— 3.151,3.037,6,2.665,| 8,2,6,29,| NA,NA,NA,NA,NA,NA,NA
Zinc,2400,260,G,1.56,2.074,1.632,2.05,14,1.948,7,6,2.142,- 2.004,1.879,1.594,1.588,| 6,44,1.221,43,| NA,NA,NA,NA,NA,NA,NA
IVVOGCTANAIAY TE(ua/ Ls),DW,GSI,,,,,,,,,,,,,,,,,IMW=1512S},IMW=1 14S},,,,,,,
Diethyl ether,10 (E),ID,,<10,<10,<10,| <10,<10,<10,<10,<10,<10,| <10,<10,<10,<10,| <10,<10,<10,<10,| <10,<10,<10,<10,<10,<10,<10
Acetone,730,"1,700",,<50,<50,<50,| <50,<50,<50,<50,<50,<50,| <50,<50,<50,<50,| <50,<50,<50,<50,| <50,<50,<50,<50,<50,<50,<50
Methyl iodide,NC,NC,,<4,<1,<1,<4,<4,<1,<1,<1,<1,<4,<1,<4,<1,<4,<1,<4,<1,<f,<1,<1,<4,<1,<1,<1
Carbon disulfide,800,NC,,<5,<5,<5,| 0.26,<5,<5,<5,<5,<5,ss),<5,<5,<5,ss),<5,<5,<5,<5,<5,<5,0.15,0.18,0.17,0.17
tert-Methyl butyl ether (MTBE),AO (E),"7,100 (X)",,<5,<5,<5,| <5,<5,<5,<5,<5,<5,| <5,<5,<5,<5,ss),<5,<5,<5,ns),<5,<5,<5,<5,<5,<5
Acrylonitrile,2.6,2.0 (M); 1.2,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
2-Butanone (MEK),"13,000","2,200",,<25,<25,<25,— <25,<25,<25,<25,<25,<25,— <25,<25,<25,<25,— <25,<25,<25,<25,| <25,<25,<25,<25,<25,<25,<25
Dichlorodifluoromethane,"1,700",ID,,<5,<5,<5,<5,<5,<5,<5,<5,<5,| <5,<5,<5,<5,| <5,<5,<5,<5,ns),<5,<5,<5,<5,<5,<5
Chloromethane,260,NC,,0.15,<5,<5,a.,<5,<5,<5,<5,<5,= 0.13,<5,<5,<5,0.44,<5,<5,<5,eB,<5,<5,<5,<5,<5,<5
