,,Sample,ID,MWw- 100S,MWw- 101S,MW- 102S,MWw- 103S,MW- 104S,MWw- 105S,MW- 106SR,MW- 1078S,MWw- 108S,MW- 109S,MWw- 110S,MW- 1118S,MWw- 1128S,MWw- 1138S,Field Dupe,Trip Blank,Field Blank,Equip Blank
,,Date Collect,ed,5/29/18,5/29/18,5/29/18,} 5/29/18,5/29/18,5/29/18,5/29/18,5/29/18,5/29/18,5/29/18,} 5/29/18,5/29/18,5/29/18,5/29/18,5/29/18,,5/29/18,} 5/29/18
METALS*ANALYTE (ug/L),DW,GSI,,"IDRY,",,,,"DRY,",,"DRY,",,gS,INS),INS),,,gS,[MW-102S},,,
— Argenic (dissolved) ts”,10,10,,,,,| 1.44,,,,,,,,,,,,,,
Arsenic,10,10,,,,,| 9g,,,,,,,,,,,,,,
Chromium (dissolved),100,160,G,,1.62,14,| 0.168,,| 1.01,,0.328,,,,4.13,0.431,,14,,,
Chromium (total),100,160,G,,2.64,14,| 0.276,,| 44,,0.208,,,,4.17,0.296,,14,,,| 0.095
Chromium VI (dissolved),100,160,,,,,,,,,,,,,,,,,,,
Chromium VI (total),100,160,,,,,,,,,,,,,,,,,,,
Copper (dissolved),1000,20,G,,0.381,0.498,,,. 0.816,,1.73,,,,0.611,,,0.469,,,
Copper,1000,20,G,,0.748,0.341,,,| 1.78,,1.43,,,,2.42,,,,,,
Lead (dissolved),4,44,G,,,,,,,,,,,,,,,,,,
Lead,4,44,G,,0.408,,| 0.068,,| 0.304,,0.121,,,,0.067,0.062,,,,,
Selenium (dissolved),50,5,,,,,,,,,,,,,,,,,,,
Selenium,50,5,,,,,,,,,,,,,,,,,,,
Zinc (dissolved),2400,260,G,,6,8,| 7,,| 8,,12,,,,15,8,,9,,,
Zinc,2400,260,G,,6,7,| 8,,| 7,,8,,,,6,4.76,,9,,,| 1.79
"VOCTANALY,TE (ug/L)",DW,GSI,,,,,,,,,,,,,,,,,,,
Acetone,730,"1,700",,,5,4.5,| 6.4,,| 5.6,,,,,,5.9,8.2,,5.6,| 4.8,,| 8.4
Methyl iodide,NC,NC,,,,,,,,,,,,,,,,,,,
Carbon disulfide,800,NC,,,,,,,,,,,,,,,,,,,
2 Butanone (MEK),"13,000","2,200",,,,,,,,,,,,,,,,,,,
Chloromethane,260,NC,,,,,,,,,,,,,,,,,,,
Vinyl Chloride,2.0,13,,,,,,,,,,,,,,9,,,,,
Chloroethane,430,"1,100",,,,,,,,,,,,,,,,,po,,
trichlorofluoromethane,"2,600",NA,,,,,,,,,,,,,,,,,,,
"1,1-Dichloroethene",7.0,130,,,,,,,,,,,,,,a ee,,,,,
Methylene Chloride,5.0,"1,500",,,,,,,,,,,,,,0.17,,,,,
"- trans-1,2-Dichloroethene",100,"1,500",,,,,,,,,,,,,,0.25,,,,,
"1,1-Dichloroethane",880,740,,,,,,,,,,,,,,a,,,,,
"cis-1,2-Dichloroethene",70,620,,,,,,,,,,,,,,3,,,,,
Tetrahydrofuran,95,"11,000",,,,,,,,,,,,,,,,,| 48,,
Chloroform,80,350,,,,,,,,,,,,,,,,,,,| 0.46
,200,89,,,,,,,,,,,,,,,,,po,,
4-Methyl-2-pentanone (MIBK),1800,ID,,,,,,,,,,,,,,,,,,,
2-Hexanone,1000,ID,,,,,,,,,,,,,,,,,,,
Carbon tetrachloride,5.0,38 (X),,,,,,,,,,,,,,,,,,,
Benzene,5.0,200,,,,,,,,,,,,,,0.20,,,,,
Bromodichloromethane,80.0,NC,,,,,,,,,,,,,,,,,,,
Trichtoroethene,5.0,200,,,1,0.67,,,,,,,,,7,13,,0.7,,,
Toluene,790,270,,,,0.39,,,,,,,,,,,,,,,
Tetrachloroethene,5.0,60,,,,,,,| 45,,,,,,,,,,,,
Chlorobenzene,100,25,,,,,,,,,,,,,,,,,,,
Styrene,100,80,,,,,,,,,,,,,,,,,,,
